name,email,region
Arjun Sharma,customer0001@demo-retail.com,East
Vikram Verma,customer0002@demo-retail.com,South
Arjun Das,customer0003@demo-retail.com,Central
Aditya Yadav,customer0004@demo-retail.com,West
Vivaan Sharma,customer0005@demo-retail.com,North
Karan Verma,customer0006@demo-retail.com,Central
Nisha Sharma,customer0007@demo-retail.com,Central
Karan Roy,customer0008@demo-retail.com,Central
Kavya Verma,customer0009@demo-retail.com,West
Muskan Gupta,customer0010@demo-retail.com,North
Rahul Roy,customer0011@demo-retail.com,West
Priya Gupta,customer0012@demo-retail.com,South
Karan Shah,customer0013@demo-retail.com,East
Arjun Kumar,customer0014@demo-retail.com,West
Arjun Mehta,customer0015@demo-retail.com,East
Nisha Gupta,customer0016@demo-retail.com,North
Isha Joshi,customer0017@demo-retail.com,North
Neha Kumar,customer0018@demo-retail.com,Central
Aditi Malhotra,customer0019@demo-retail.com,Central
Sneha Yadav,customer0020@demo-retail.com,South
Aditya Sharma,customer0021@demo-retail.com,South
Aditi Kumar,customer0022@demo-retail.com,South
Arjun Patel,customer0023@demo-retail.com,East
Isha Das,customer0024@demo-retail.com,East
Rahul Mehta,customer0025@demo-retail.com,East
Karan Das,customer0026@demo-retail.com,East
Aditya Yadav,customer0027@demo-retail.com,South
Pooja Roy,customer0028@demo-retail.com,South
Rahul Mishra,customer0029@demo-retail.com,West
Ananya Sinha,customer0030@demo-retail.com,Central
Vikram Das,customer0031@demo-retail.com,East
Vivaan Verma,customer0032@demo-retail.com,North
Priya Patel,customer0033@demo-retail.com,East
Aditya Verma,customer0034@demo-retail.com,Central
Priya Verma,customer0035@demo-retail.com,West
Neha Sinha,customer0036@demo-retail.com,West
Rohan Gupta,customer0037@demo-retail.com,South
Vikram Roy,customer0038@demo-retail.com,Central
Pooja Gupta,customer0039@demo-retail.com,Central
Kavya Sinha,customer0040@demo-retail.com,Central
Neha Mehta,customer0041@demo-retail.com,South
Rohan Joshi,customer0042@demo-retail.com,West
Aditya Shah,customer0043@demo-retail.com,North
Arjun Singh,customer0044@demo-retail.com,South
Kavya Yadav,customer0045@demo-retail.com,North
Neha Patel,customer0046@demo-retail.com,Central
Isha Joshi,customer0047@demo-retail.com,East
Pooja Malhotra,customer0048@demo-retail.com,North
Arjun Das,customer0049@demo-retail.com,Central
Ananya Shah,customer0050@demo-retail.com,East
Arjun Gupta,customer0051@demo-retail.com,West
Rahul Mishra,customer0052@demo-retail.com,North
Ananya Joshi,customer0053@demo-retail.com,South
Simran Sinha,customer0054@demo-retail.com,North
