order_number,customer_email,product_sku,quantity,unit_price,sale_date
ORD-000001,customer0232@demo-retail.com,SKU-1056,3,72.27,2025-08-09
ORD-000002,customer0374@demo-retail.com,SKU-1054,1,97.36,2026-02-13
ORD-000003,customer0352@demo-retail.com,SKU-1020,1,142.71,2026-01-19
ORD-000004,customer0379@demo-retail.com,SKU-1096,6,25.38,2026-08-07
ORD-000005,customer0344@demo-retail.com,SKU-1043,3,76.68,2026-07-30
ORD-000006,customer0027@demo-retail.com,SKU-1093,1,65.65,2026-03-10
ORD-000007,customer0109@demo-retail.com,SKU-1065,1,13.45,2026-04-06
ORD-000008,customer0189@demo-retail.com,SKU-1072,3,115.43,2025-12-25
ORD-000009,customer0499@demo-retail.com,SKU-1072,1,115.43,2026-05-14
ORD-000010,customer0312@demo-retail.com,SKU-1004,1,24.08,2026-07-25
ORD-000011,customer0360@demo-retail.com,SKU-1035,3,27.51,2026-07-16
ORD-000012,customer0290@demo-retail.com,SKU-1019,4,68.66,2026-07-16
ORD-000013,customer0272@demo-retail.com,SKU-1096,3,31.37,2025-04-04
ORD-000014,customer0370@demo-retail.com,SKU-1040,1,86.56,2026-05-29
ORD-000015,customer0081@demo-retail.com,SKU-1020,4,125.34,2026-08-18
ORD-000016,customer0311@demo-retail.com,SKU-1063,1,59.41,2026-05-15
ORD-000017,customer0221@demo-retail.com,SKU-1045,2,196.54,2025-04-27
ORD-000018,customer0158@demo-retail.com,SKU-1086,4,152.93,2026-04-19
ORD-000019,customer0155@demo-retail.com,SKU-1027,3,207.42,2026-08-30
ORD-000020,customer0062@demo-retail.com,SKU-1042,60,80.83,2025-10-24
ORD-000021,customer0118@demo-retail.com,SKU-1091,3,82.94,2026-04-17
ORD-000022,customer0442@demo-retail.com,SKU-1051,3,18.54,2025-03-15
ORD-000023,customer0295@demo-retail.com,SKU-1041,1,191.53,2026-08-12
ORD-000024,customer0208@demo-retail.com,SKU-1015,2,135.22,2025-10-24
ORD-000025,customer0471@demo-retail.com,SKU-1089,1,155.72,2026-04-17
ORD-000026,customer0206@demo-retail.com,SKU-1076,1,200.92,2026-05-12
ORD-000027,customer0171@demo-retail.com,SKU-1029,8,27.22,2026-06-06
ORD-000028,customer0179@demo-retail.com,SKU-1100,2,196.51,2026-07-13
ORD-000029,customer0053@demo-retail.com,SKU-1031,6,92.84,2025-06-01
ORD-000030,customer0488@demo-retail.com,SKU-1023,3,65.83,2026-08-12
ORD-000031,customer0349@demo-retail.com,SKU-1058,4,143.75,2026-08-17
ORD-000032,customer0162@demo-retail.com,SKU-1081,2,76.67,2025-11-27
ORD-000033,customer0029@demo-retail.com,SKU-1076,3,174.65,2026-06-22
ORD-000034,customer0040@demo-retail.com,SKU-1037,2,13.15,2026-05-29
ORD-000035,customer0237@demo-retail.com,SKU-1050,1,17.29,2026-04-24
ORD-000036,customer0466@demo-retail.com,SKU-1058,4,143.75,2025-02-12
ORD-000037,customer0078@demo-retail.com,SKU-1065,2,13.45,2026-05-02
ORD-000038,customer0044@demo-retail.com,SKU-1092,1,171.07,2025-12-18
ORD-000039,customer0268@demo-retail.com,SKU-1068,3,208.13,2026-05-11
ORD-000040,customer0397@demo-retail.com,SKU-1053,1,200.77,2026-02-01
ORD-000041,customer0169@demo-retail.com,SKU-1009,8,75.28,2025-12-09
ORD-000042,customer0042@demo-retail.com,SKU-1043,8,65.37,2026-07-24
ORD-000043,customer0305@demo-retail.com,SKU-1017,6,22.56,2026-02-06
ORD-000044,customer0344@demo-retail.com,SKU-1017,2,25.53,2025-12-03
ORD-000045,customer0331@demo-retail.com,SKU-1012,1,72.77,2026-06-24
ORD-000046,customer0487@demo-retail.com,SKU-1024,6,76.84,2026-06-13
ORD-000047,customer0080@demo-retail.com,SKU-1018,2,212.85,2026-07-05
ORD-000048,customer0453@demo-retail.com,SKU-1095,8,122.17,2026-04-15
ORD-000049,customer0193@demo-retail.com,SKU-1077,8,42.14,2025-05-15
ORD-000050,customer0225@demo-retail.com,SKU-1093,5,65.65,2025-06-19
ORD-000051,customer0146@demo-retail.com,SKU-1079,2,151.8,2026-03-31
ORD-000052,customer0495@demo-retail.com,SKU-1040,2,86.56,2026-07-01
ORD-000053,customer0485@demo-retail.com,SKU-1087,5,118.52,2026-01-12
ORD-000054,customer0271@demo-retail.com,SKU-1065,2,11.16,2026-01-27
ORD-000055,customer0329@demo-retail.com,SKU-1007,1,185.15,2026-06-28
ORD-000056,customer0146@demo-retail.com,SKU-1016,3,120.02,2026-06-13
ORD-000057,customer0485@demo-retail.com,SKU-1012,6,72.77,2026-05-12
ORD-000058,customer0028@demo-retail.com,SKU-1054,4,97.36,2025-01-28
ORD-000059,customer0115@demo-retail.com,SKU-1048,3,172.36,2026-08-11
ORD-000060,customer0071@demo-retail.com,SKU-1019,1,75.36,2025-12-10
ORD-000061,customer0362@demo-retail.com,SKU-1098,3,82.52,2026-07-27
ORD-000062,customer0111@demo-retail.com,SKU-1033,10,70.43,2025-01-20
ORD-000063,customer0057@demo-retail.com,SKU-1055,1,59.59,2026-06-25
ORD-000064,customer0328@demo-retail.com,SKU-1054,2,97.36,2026-07-01
ORD-000065,customer0275@demo-retail.com,SKU-1077,5,42.14,2026-04-26
ORD-000066,customer0220@demo-retail.com,SKU-1038,32,159.03,2026-07-26
ORD-000067,customer0500@demo-retail.com,SKU-1068,4,208.13,2026-08-10
ORD-000068,customer0011@demo-retail.com,SKU-1071,4,212.19,2026-04-24
ORD-000069,customer0383@demo-retail.com,SKU-1033,2,70.43,2026-01-18
ORD-000070,customer0298@demo-retail.com,SKU-1099,2,163.0,2026-08-05
ORD-000071,customer0417@demo-retail.com,SKU-1044,4,163.76,2026-04-14
ORD-000072,customer0094@demo-retail.com,SKU-1081,5,81.1,2026-05-06
ORD-000073,customer0023@demo-retail.com,SKU-1026,5,213.67,2026-06-17
ORD-000074,customer0204@demo-retail.com,SKU-1066,6,98.82,2026-06-13
ORD-000075,customer0183@demo-retail.com,SKU-1037,2,11.81,2026-07-14
ORD-000076,customer0456@demo-retail.com,SKU-1056,2,72.27,2026-05-29
ORD-000077,customer0255@demo-retail.com,SKU-1024,4,76.84,2025-12-14
ORD-000078,customer0373@demo-retail.com,SKU-1011,3,139.27,2025-10-01
ORD-000079,customer0151@demo-retail.com,SKU-1070,4,78.79,2025-07-04
ORD-000080,customer0354@demo-retail.com,SKU-1022,4,19.15,2026-05-14
ORD-000081,customer0223@demo-retail.com,SKU-1079,6,151.8,2025-12-28
ORD-000082,customer0327@demo-retail.com,SKU-1086,2,152.93,2025-03-18
ORD-000083,customer0074@demo-retail.com,SKU-1004,2,24.08,2025-06-13
ORD-000084,customer0121@demo-retail.com,SKU-1009,1,75.28,2026-07-30
ORD-000085,customer0310@demo-retail.com,SKU-1005,3,137.03,2026-04-08
ORD-000086,customer0040@demo-retail.com,SKU-1098,1,82.52,2026-05-10
ORD-000087,customer0492@demo-retail.com,SKU-1032,2,184.38,2026-06-21
ORD-000088,customer0061@demo-retail.com,SKU-1072,3,115.43,2026-05-24
ORD-000089,customer0470@demo-retail.com,SKU-1089,2,155.72,2026-06-19
ORD-000090,customer0089@demo-retail.com,SKU-1058,3,143.75,2026-08-13
ORD-000091,customer0178@demo-retail.com,SKU-1086,1,152.93,2026-06-11
ORD-000092,customer0365@demo-retail.com,SKU-1021,1,37.38,2026-06-16
ORD-000093,customer0115@demo-retail.com,SKU-1066,5,98.82,2026-05-31
ORD-000094,customer0185@demo-retail.com,SKU-1004,2,24.08,2026-04-27
ORD-000095,customer0314@demo-retail.com,SKU-1017,1,21.95,2026-07-19
ORD-000096,customer0211@demo-retail.com,SKU-1068,3,208.13,2026-05-06
ORD-000097,customer0038@demo-retail.com,SKU-1083,4,30.78,2026-06-11
ORD-000098,customer0301@demo-retail.com,SKU-1082,1,143.77,2026-04-12
ORD-000099,customer0266@demo-retail.com,SKU-1016,3,117.39,2026-08-17
ORD-000100,customer0459@demo-retail.com,SKU-1067,1,30.63,2025-12-21
ORD-000101,customer0321@demo-retail.com,SKU-1017,1,25.53,2025-10-09
ORD-000102,customer0483@demo-retail.com,SKU-1076,3,179.56,2026-07-19
ORD-000103,customer0022@demo-retail.com,SKU-1073,3,57.49,2025-12-12
ORD-000104,customer0334@demo-retail.com,SKU-1034,3,41.31,2026-08-14
ORD-000105,customer0456@demo-retail.com,SKU-1064,4,182.15,2026-08-24
ORD-000106,customer0413@demo-retail.com,SKU-1032,8,184.38,2026-05-10
ORD-000107,customer0226@demo-retail.com,SKU-1021,2,37.38,2026-08-16
ORD-000108,customer0442@demo-retail.com,SKU-1041,2,191.53,2026-07-26
ORD-000109,customer0390@demo-retail.com,SKU-1017,4,25.53,2026-02-13
ORD-000110,customer0137@demo-retail.com,SKU-1016,1,111.75,2026-05-04
ORD-000111,customer0493@demo-retail.com,SKU-1032,2,156.56,2026-03-05
ORD-000112,customer0391@demo-retail.com,SKU-1025,1,125.72,2026-06-12
ORD-000113,customer0012@demo-retail.com,SKU-1064,1,182.15,2026-06-14
ORD-000114,customer0299@demo-retail.com,SKU-1028,8,119.21,2026-07-01
ORD-000115,customer0275@demo-retail.com,SKU-1037,5,10.78,2026-04-27
